====================================
args:  Namespace(batch_size=50, encoder_layer=3, decoder_layer=4, d_layer=3, hidden_dim=32, noise_dim=15, dropout=0, opt='adam', seed=7777, data_dir='./datasets/Dataset_Dynamic_Trend_Preserve/County/train_test/', data_name='county_increasing_and_trough', opt_scheduler='step', opt_decay_step=80, opt_decay_rate=0.8, weight_decay=0, lr=0.001, epochs=500, ad_loss_weight=20, experiment_name='DT-VAE-GAN_county_increasing_and_trough', parent_dir='./experiments', dis_recon_loss_weight=0.8, recon_loss_weight=1.0)
====================================
[INFO] Using dataset: county_increasing_and_trough, Using device: cuda:0, Using seed: 7777
296, reconstruction_loss: -114.6143 kl_div: 32.8107, bce loss: 89.8739
297, reconstruction_loss: -116.7535 kl_div: 33.9221, bce loss: 88.9943
298, reconstruction_loss: -113.3593 kl_div: 33.4237, bce loss: 89.4563
299, reconstruction_loss: -117.9902 kl_div: 33.1346, bce loss: 89.9105
300, reconstruction_loss: -118.9267 kl_div: 31.4282, bce loss: 90.3471
301, reconstruction_loss: -119.6760 kl_div: 30.3801, bce loss: 90.2158
302, reconstruction_loss: -121.7878 kl_div: 29.6179, bce loss: 90.0038
303, reconstruction_loss: -119.0233 kl_div: 30.7320, bce loss: 89.4743
304, reconstruction_loss: -117.4249 kl_div: 31.6717, bce loss: 89.4774
305, reconstruction_loss: -115.6340 kl_div: 32.0913, bce loss: 89.8316
306, reconstruction_loss: -116.7193 kl_div: 32.6884, bce loss: 89.9898
307, reconstruction_loss: -116.4707 kl_div: 32.5646, bce loss: 89.5201
308, reconstruction_loss: -117.4423 kl_div: 32.6513, bce loss: 89.2284
309, reconstruction_loss: -117.9870 kl_div: 34.4563, bce loss: 89.8615
310, reconstruction_loss: -122.3831 kl_div: 36.5400, bce loss: 90.2460
311, reconstruction_loss: -123.0894 kl_div: 32.3980, bce loss: 90.3551
312, reconstruction_loss: -120.9449 kl_div: 30.8817, bce loss: 90.1729
313, reconstruction_loss: -120.5258 kl_div: 30.5478, bce loss: 90.0557
314, reconstruction_loss: -123.1989 kl_div: 30.9898, bce loss: 89.7068
315, reconstruction_loss: -118.4239 kl_div: 32.0938, bce loss: 89.2663
316, reconstruction_loss: -119.6113 kl_div: 34.2213, bce loss: 89.5592
317, reconstruction_loss: -115.2521 kl_div: 33.0654, bce loss: 90.3117
318, reconstruction_loss: -116.2875 kl_div: 32.4650, bce loss: 90.2225
